setting,seed,metric,history_csv
cap0406_mcap8,123,valid/attn/gd_residual_beta_cap_hit_ratio,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,123,valid/attn/gd_residual_beta_cap_active,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,123,valid/attn/gd_residual_beta_effective_cap,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,123,valid/attn/gd_residual_read_margin_top1_top2_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,123,valid/attn/gd_residual_read_margin_top1_top2_p05,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,123,valid/attn/gd_residual_read_entropy_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,123,valid/attn/gd_residual_read_selected_mass_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,123,valid/attn/gd_residual_read_selected_mass_p05,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-2026-05-31-20-37-06/gd-cb64-r16-s123-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s123-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_sum_zeta_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_sum_zeta_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_sum_zeta_p95,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_uncapped_sum_zeta_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_uncapped_sum_zeta_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_uncapped_sum_zeta_p95,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_write_strength_cap_active,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_write_strength_effective_cap,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_m_norm_cap_active,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_m_norm_effective_cap,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_beta_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_beta_max,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_beta_cap_hit_ratio,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_beta_cap_active,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_beta_effective_cap,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_read_margin_top1_top2_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_read_margin_top1_top2_p05,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_read_entropy_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_read_selected_mass_mean,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
cap0406_mcap8,124,valid/attn/gd_residual_read_selected_mass_p05,/home/lyj/mnt/project/zoology/zoology/analysis/flash_vqg/results/flash-vqg-20260529-seed-instability-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-2026-05-31-20-37-06/gd-cb64-r16-s124-d123-b64-ga4-fp32-noearly4ep-wcap0p04-wcapfinal0p06-wcaprel2820to8468-wcapevalscheduled-mcap8-caprel0406-mcap8-s124-probe/data/history.csv
